,RMSE
"(0, 0, 0)",19611.687241822117
"(0, 0, 1)",22100.359262801685
"(0, 0, 2)",15562.063249889154
"(0, 0, 3)",16173.282425280344
"(0, 0, 4)",15501.248146394488
"(0, 0, 5)",16466.644895131023
"(0, 0, 6)",15785.336074538202
"(0, 0, 7)",13751.724718777989
"(0, 1, 0)",20923.90875119418
"(0, 1, 1)",24022.914079953964
"(0, 1, 2)",24025.16451249632
"(0, 1, 3)",26959.743764459767
"(0, 1, 4)",24429.056773891065
"(0, 1, 5)",25459.128212592368
"(0, 1, 6)",25001.61141700334
"(0, 1, 7)",25404.39104149864
"(1, 0, 0)",14774.429756762762
"(1, 0, 1)",18145.760704206445
"(1, 0, 2)",15231.742342343467
"(1, 0, 3)",15548.755943434242
"(1, 0, 4)",15184.551871149686
"(1, 0, 5)",14729.239727308128
"(1, 0, 6)",15763.24672738197
"(1, 0, 7)",14833.1710195968
"(1, 1, 0)",24093.790279522655
"(1, 1, 1)",25170.582002863986
"(1, 1, 2)",25009.989732239872
"(1, 1, 3)",25730.180508362224
"(1, 1, 4)",24205.46424421623
"(1, 1, 5)",26521.44599710397
"(1, 1, 6)",25241.467889502706
"(1, 1, 7)",25862.810510965082
"(2, 0, 0)",19004.714604787005
"(2, 0, 1)",18008.557965098316
"(2, 0, 2)",18047.99016525522
"(2, 0, 3)",21686.689163075494
"(2, 0, 4)",14799.477468365616
"(2, 0, 5)",14861.108007867755
"(2, 0, 6)",14730.598386818696
"(2, 0, 7)",13850.12362272515
"(2, 1, 0)",24164.42957430699
"(2, 1, 1)",25016.544449874615
"(2, 1, 2)",24913.083708682443
"(2, 1, 3)",39402.54398014359
"(2, 1, 4)",27412.439007273824
"(2, 1, 5)",37959.28241890425
"(2, 1, 6)",24803.212236169245
"(2, 1, 7)",27907.657626634682
"(3, 0, 0)",18219.887533228437
"(3, 0, 1)",17802.925470150545
"(3, 0, 2)",18283.28634332666
"(3, 0, 3)",36889.31329673177
"(3, 0, 4)",15036.236488528508
"(3, 0, 5)",13292.473780367678
"(3, 0, 6)",13063.092429271552
"(3, 0, 7)",11032.68875736739
"(3, 1, 0)",27342.33569896115
"(3, 1, 1)",25628.117283899104
"(3, 1, 2)",11586.215047443844
"(3, 1, 3)",30437.83831939528
"(3, 1, 4)",24584.69376232752
"(3, 1, 5)",30247.960666454863
"(3, 1, 6)",27709.32915963961
"(3, 1, 7)",27437.971593312566
"(4, 0, 0)",18784.419894911112
"(4, 0, 1)",15843.602352217471
"(4, 0, 2)",18560.74201723307
"(4, 0, 3)",17094.186630241806
"(4, 0, 4)",11617.962041347646
"(4, 0, 5)",13388.149280803797
"(4, 0, 6)",11784.292474459362
"(4, 0, 7)",14133.96054336204
"(4, 1, 0)",24478.57606631771
"(4, 1, 1)",24576.144190290866
"(4, 1, 2)",22075.825451658973
"(4, 1, 3)",22726.465691789002
"(4, 1, 4)",18948.863919820313
"(4, 1, 5)",24639.818834599042
"(4, 1, 6)",27195.54913280133
"(4, 1, 7)",44009.17666511958
"(5, 0, 0)",21089.451286995463
"(5, 0, 1)",18833.288691227663
"(5, 0, 2)",14801.865529439425
"(5, 0, 3)",9918.629130458297
"(5, 0, 4)",11617.191264255202
"(5, 0, 5)",12140.396525232143
"(5, 0, 6)",12534.753099222384
"(5, 0, 7)",12811.721285235873
"(5, 1, 0)",24677.841126077652
"(5, 1, 1)",28116.832812670553
"(5, 1, 2)",52432.661464968594
"(5, 1, 3)",18296.09811798193
"(5, 1, 4)",34722.646511570994
"(5, 1, 5)",13483.775985311451
"(5, 1, 6)",18298.215407809286
"(5, 1, 7)",32964.43273736897
"(6, 0, 0)",13398.124478428957
"(6, 0, 1)",8089.907935558881
"(6, 0, 2)",13414.50694489616
"(6, 0, 3)",26468.43685640801
"(6, 0, 4)",8774.01005155735
"(6, 0, 5)",6022.392962873432
"(6, 0, 6)",8728.952268851846
"(6, 0, 7)",8522.365216243728
"(6, 1, 0)",166272.99252628884
"(6, 1, 1)",52262.17688445834
"(6, 1, 2)",76879.14594998091
"(6, 1, 3)",30048.338665343384
"(6, 1, 4)",26123.580564374108
"(6, 1, 5)",9881.327912982499
"(6, 1, 6)",23071.792777993345
"(6, 1, 7)",9656.821274294909
"(7, 0, 0)",119988.28064523004
"(7, 0, 1)",41795.81982022026
"(7, 0, 2)",26097.612853558257
"(7, 0, 3)",31322.547921923786
"(7, 0, 4)",5870.614256457182
"(7, 0, 5)",7074.9853216981355
"(7, 0, 6)",6007.250859124234
"(7, 0, 7)",8191.1136349466215
"(7, 1, 0)",38675.84350545397
"(7, 1, 1)",48281.19105984883
"(7, 1, 2)",74482.449264803
"(7, 1, 3)",33866.17162549145
"(7, 1, 4)",30567.56427684614
"(7, 1, 5)",10738.12804151267
"(7, 1, 6)",15480.970061200658
"(7, 1, 7)",18292.55451087528
